Date,Medicine_Name,Pharmacy_ID,Pharmacy_Name,Location,Address,Stock_Available,Units_Sold,Incoming_Stock,Season,Disease_Trend,Day_of_Week,Supplier_Delay,Demand_Trend,Prescription_Required,Price,Medicine_Type,Criticality_Level,Supplier_Type,Restock_Time,Dosage_Form,Manufacturer,Shortage
2020-01-01,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,110,69,44,Flu,Medium,Wednesday,0,Decreasing,No,20,Common,Low,Local,2,Tablet,Sun Pharma,0
2020-01-02,Ibuprofen,P002,MedPlus,Dadar,Dadar East,111,49,8,Flu,Medium,Thursday,1,Decreasing,No,30,Common,Low,Local,5,Tablet,Cipla,0
2020-01-03,Crocin,P003,Wellness Forever,Thane,Thane West,151,71,43,Flu,High,Friday,2,Decreasing,No,25,Common,Low,Local,3,Tablet,GSK,0
2020-01-04,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,96,77,21,Flu,High,Saturday,0,Decreasing,No,15,Common,Low,Regional,5,Syrup,Dr. Reddy's,0
2020-01-05,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,100,83,19,Flu,High,Sunday,1,Stable,Yes,90,Rare,High,Imported,12,Capsule,Pfizer,0
2020-01-06,Amoxicillin,P002,MedPlus,Dadar,Dadar East,179,41,48,Flu,Medium,Monday,3,Increasing,Yes,80,Critical,High,National,8,Capsule,Abbott,0
2020-01-07,Metformin,P003,Wellness Forever,Thane,Thane West,115,55,41,Flu,Medium,Tuesday,1,Decreasing,Yes,45,Chronic,Medium,National,6,Tablet,Sun Pharma,0
2020-01-08,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,170,55,38,Flu,Medium,Wednesday,2,Stable,Yes,35,Chronic,Medium,National,6,Tablet,Cipla,0
2020-01-09,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,101,85,57,Flu,Medium,Thursday,2,Decreasing,Yes,95,Chronic,High,National,6,Injection,Novo Nordisk,0
2020-01-10,Glimepiride,P002,MedPlus,Dadar,Dadar East,89,76,20,Flu,High,Friday,1,Increasing,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
